PhotoshopCS4从入门到精通,陈志宏,人民邮电出版社,2009,59,T
网上赚钱做赢家,闵智和,人民邮电出版社,2009,39,F
会声会影X2标准培训教程,王永辉,人民邮电出版社,2009,38,T
新编AutoCAD2009入门与提高,神龙工作室,人民邮电出版社,2009,39.8,T
计算机网络技术,王晓军,人民邮电出版社,2009,30,T
区域投资环境与招商引资,潘霞,人民邮电出版社,2009,36,F
会计新手应知应会一本通,付刚,人民邮电出版社,2009,29.8,F
JavaScript基础教程,内格里诺,人民邮电出版社,2009,49,T
PhotoshopCS3摄影师专业技法,伊文宁,人民邮电出版社,2009,79.8,T
SOA服务设计原则,埃尔,人民邮电版社,2009,55,T
AutoCAD2009中文版建筑设备工程制图实例精解,王刚,人民邮电出版社,2009,32,T
移动电子商务,秦成德,人民邮电出版社,2009,35,F
淘宝网赢家案例精选,上海伟雅,人民邮电出版社,2009,29.8,F
Flex3宝典,加斯纳,人民邮电出版社,2009,69,T
AliasStudio产品设计创意表达,王天健,人民邮电出版社,2009,49,T
UGNX5曲面造型基础教程,何鹏,人民邮电出版社,2009,39,T
捕捉自然的神韵,奇圣俊,人民邮电出版社,2009,59,J
深入浅出Struts2,库尼亚瓦,人民邮电出版社,2009,59,T
AutoCAD2009辅助设计从入门到精通,曾全,人民邮电出版社,2009,49,T
从零起步学电子,沃尔夫冈,人民邮电出版社,2009,45,T
Flash角色/背景/动画短片设计完全手册,周国栋,人民邮电出版社,2009,69,T
30天玩转数码单反相机,李京,人民邮电出版社,2009,39.8,T
XML实用教程,范立锋,人民邮电出版社,2009,24,T
AutoCAD2009中文版建筑制图基础教程,刘晓红,人民邮电出版社,2009,45,T
MATLAB7.0程序设计快速入门,岂兴明,人民邮电出版社,2009,39,T
AutoCAD2008中文版建筑制图实例精解,马永志,人民邮电出版社,2009,35,T
数码摄影工坊,埃迪斯,人民邮电出版社,2009,59,T
业余无线电移动应用指南,伯奇,人民邮电出版社,2009,45,T
电子邮件营销密码,穆朗,人民邮电出版社,2009,39,F
媒介融合,奎因,人民邮电出版社,2009,45,G
C++程序设计大学教程,王春玲,人民邮电出版社,2009,29,T
黑客防线2009,黑客防线编辑部,人民邮电出版社,2009,48,T
AdobeDreamweaverCS4中文版经典教程,陈宗斌,人民邮电出版社,2009,39,T
AdobePremiereProCS4经典教程,王永炫,人民邮电出版社,2009,49,T
每周一堂经济课,郑月玲,人民邮电出版社,2009,29.8,F
3dsMax即查即用学习手册,严严,人民邮电出版社,2009,89,T
操作系统,罗宇,人民邮电出版社,2009,25,T
WindowsServer2008组网技术与应用详解,刘淑梅,人民邮电出版社,2009,55,T
数码摄影完美教程,陈仁文,人民邮电出版社,2009,49,T
AutoCAD2009中文版建筑制图快速入门,王海英,人民邮电出版社,2009,26,T
像巴菲特一样滚雪球,张从忠,人民邮电出版社,2009,35,F
中文版AutoCAD2009机械设计实例精讲,刘兴德,人民邮电出版社,2009,39,T
米尔顿·弗里德曼,刘维奇,人民邮电出版社,2009,25,F
智能传感器设计,赫德尔斯顿,人民邮电出版社,2009,45,T
办公自动化教程,王永平,人民邮电出版社,2009,29,C
Excel数据透视表应用大全,ExcelHome,人民邮电出版社,2009,69,T
SQLServer2008基础教程,迪尤逊,人民邮电出版社,2009,55,T
计算机网络应用基础,冯博琴,人民邮电出版社,2009,26,T
CSS网页设计标准教程,温谦,人民邮电出版社,2009,32,T
ADOBEDREAMWEAVERCS4标准培训教材,薛欣,人民邮电出版社,2009,36,T
线性代数应该这样学,阿克斯勒,人民邮电出版社,2009,39,O
数码摄影工坊,蒂玛基夫,人民邮电出版社,2009,59,T
3dsMax/VRay印象效果图灯光与色彩的表现,张彬,人民邮电出版社,2009,75,T
Pro/ENGINEER基础教程,谭雪松,人民邮电出版社,2009,37,T
LDPC码基础与应用,贺鹤云,人民邮电出版社,2009,68,T
3dsMax2009完全学习手册,徐明霞,人民邮电出版社,2009,99.8,T
JavaScript程序设计,邹天思,人民邮电出版社,2009,26,T
AutoCAD2010中文版实用教程,崔洪斌,人民邮电出版社,2009,39,T
C#面向对象程序设计,郑宇军,人民邮电出版社,2009,38,T
Flash动画制作培训讲座实录,赵更生,人民邮电出版社,2009,59.8,T
WindowsServer2008宝典,夏皮罗,人民邮电出版社,2009,69,T
VisualC++黑客编程揭秘与防范,梁洋洋,人民邮电出版社,2009,49,T
AutoCAD建筑设计培训讲座实录,倪培铭,人民邮电出版社,2009,58,T
PhotoshopCS4图像处理与特效制作208例,雷剑,人民邮电出版社,2009,89,T
产品设计技能培训,吴柳机,人民邮电出版社,2009,45,T
3dsMax&VRay室外渲染火星课堂,火星时代,人民邮电出版社,2009,98,T
黑客攻防实战秘技,傅奎,人民邮电出版社,2009,39,T
数控编程技能培训,吴柳机,人民邮电出版社,2009,48,T
MicrosoftOffice2007标准教程,考克斯,人民邮电出版社,2009,69,T
